genre,songName,singer,musicDirector,lyricist,movie,year
playful_songs,Antul Mehbubi Antul Mehbubi,Mohammed Rafi*Asha Bhosle,Usha Khanna,Asad Bhopali,Begunah,1970
playful_songs,Anu Menu I Love You,Sadhana Sargam*Alka Yagnik*Suresh Wadkar,Kalyanji Anandji,Anjaan,Kaun Kare Kurbani,1991
playful_songs,Apko Mai Gul Kahke,Shailendra Singh*Asha Bhosle,R D Burman,Majrooh Sultanpuri,Gunhegar Kaun,1991
playful_songs,Apna Banake Sapna Dikhake,Anuradha Paudwal,Laxmikant Pyarelal,Hasan Kamal,Shankara,1991
playful_songs,Apna Banale Mujhe Raat Hasin Hai,Shamshad Begum,Sardar Malik,Raja Mehdi Ali Khan,Maa Ke Aansoo,1959
playful_songs,Apna Ghar Pehchan Bande,Rafeeq Ahmed,Shanti Kumar,Kabil Amritsari,Amar Asha,1947
playful_songs,Apna Jinhe Banaya Thukra Ke Wo Sidhare,Suraiya,Naushad,Shakeel Badayuni,Naatak,1947
playful_songs,Apne Aashiq Ko Pehchano,Mohammed Aziz,Nadeem Shravan,Mangal Singh,Jigarwala,1991
playful_songs,Apne Dil Me Ae Logo Bithalo Mujhe,Udit Narayan,Ram Laxman,Suraj Sanim,Muskurahat,1992
playful_songs,Apne Mann Ka Kona,Shalmali Kholgade,Karan Kulkarni,Varun Grover,That Day After Every Day,2013
playful_songs,Apni Ada Par Mai Hu Fida,Lata Mangeshkar,Shivram Krishna,Pyarelal Santoshi,Teen Batti Chaar Raasta,1953
playful_songs,Apni Dhun Me Gaye Ja,Mohammed Rafi,Roshan Lal,K Kashmiri,Majboori,1986
playful_songs,Apni Raksha Aap Karegi (Female),Chandrani Mukherjee,Bappi Lahiri,Farooq Qaiser,Zakhmi Aurat,1988
playful_songs,Apun Ke Aage,NotFound,NotFound,NotFound,Barood - A Love Story,1996
playful_songs,Are Aise Bhi Na Husn Ka Garoor Kijiye,Anuradha Paudwal*Shailendra Singh,Kalyanji Anandji,Rajinder Krishan,Guru Ho Ja Shuru,1979
playful_songs,Are Are Dayi,NotFound,Dhiraj Dhanak,Naresh Namdev,Sati Ki Shakti,2010
playful_songs,Are Bhai Chori Ho Gayi Chori,Mahendra Kapoor,Kalyanji Anandji,Vishveshvar Sharma,Anjaam,1978
playful_songs,Are Tanhayi Me Dil Ghabraye,Lata Mangeshkar,Laxmikant Pyarelal,Rajendra Krishan,Jawab,1970
playful_songs,Are Wo Aadmi Jo Mere Samne (Help Me),Amit Kumar*Asha Bhosle,R D Burman,Anand Bakshi,Aag Se Khelenge,1989
playful_songs,Are You Falling In Love,Harshdeep Kaur,Anand Milind,Sameer,Idiot Box,2010
playful_songs,Ari Ho Paro,Asha Bhosle*Kishore Kumar,Bappi Lahiri,NotFound,Gumsoom,1982
playful_songs,Ari O Albeli Naar,Shamshad Begum*Mohammed Rafi,Gyan Dutt,Manohar Khanna,Lal Dupatta,1948
playful_songs,Arima Arima,Hariharan,A R Rahman,Swanand Kirkire,Robot,2010
playful_songs,Armaan Bhare Dil Ko,Geeta Dutt,Shaukat Dehlvi Nashad,Rafeeq Ajmeri,Toote Tare,1948
playful_songs,Armaan Dil Ke Machlne Lage hai,Sapna Mukherjee,Anand Milind,Jalees Rashid,Inteqam,2004
playful_songs,Arman Jagati Hai,Shaan,Lahu Madhav,NotFound,Rajdhani Express,2013
playful_songs,Arre Ae Ijazat De,Vijeta Pandit*Abhijeet,Jatin Lalit,Rani Malik,Hanste Khelte,1994
playful_songs,Arre Amma Wohi Mua,Asha Bhosle*Hemlata,Laxmikant Pyarelal,Rajendra Krishan,Jawab,1970
playful_songs,Ashiqana,Vaibhav Kashyap,Aniket Dhingra,Aniket Dhingra,Ashiqana,2016
playful_songs,Ashko Me Chipi Ulfat Ki Kahani,Sandhya Mukherjee,R C Boral,Prakash,Pehla Aadmi,1950
playful_songs,Atma Marti Na,S.P. Balasubramaniam*S. Janaki,O P Nayyar,Qamar Jalalabadi,Mangni,1992
playful_songs,Auon De,Mika Singh,Manish J Tipu,Naveen Tyagi,Saare Jahaan Se Mehnga,2013
playful_songs,Aur Kaha Aawaz Lagaye,Sadhana Sargam*Alka Yagnik,NotFound,Majrooh Sultanpuri,Anjaane Rishte,1990
playful_songs,Aurat Ek Kahani Maiyya Roz Nayi Aur Roz Purani,Baby Madhuri,Firoz Nizami,Pandit Indra,Vishwas,1943
playful_songs,Aurat Ki Zindgani Re Duniya Teri Nadani,Geeta Dutt,Shankar Lal,Gopal Singh Nepali,Khushboo,1954
playful_songs,Aurat To Bithaiye Dil Me Tumhe Tum Kadmo Se Thukrate Ho,Asha Bhosle*Talat Mahmood,Ravi,Majrooh Sultanpuri,Pehli Raat,1959
playful_songs,Awara Galiyo Ke Hum Bighde Sehjade,Jolly Mukherjee*Udit Narayan*Amit Kumar,Anand Milind,Sameer,Parda Hai Parda,1992
playful_songs,Awargi,Rasika Shekar*Sangeet Haldipur,Sangeet Haldipur Siddharth Haldipur,Kausar Munir,Love Games,2016
playful_songs,Ay Mere Humsafar (Female),Kavita Krishnamurthy,Raamlaxman,Ravinder Rawal,Manchala,1999
playful_songs,Aye Babu Zara Sun Sun Are Sun Sun Mera Dil Nahi Hai Kaabu,Geeta Dutt,Bulo C Rani,Khawar Zaman,Pedro,1960
playful_songs,Aye Chaand Zara Sun Le,Lata Mangeshkar,Husnlal Bhagatram,Shewan Rizvi,Pyar Ki Manzil,1950
